catch_type,set_type,intercept,slope,pvalue,r_squared,annual_percent_change
Skipjack catch,Un-Associated,-45.8606072282272,0.0230940191435072,0.00539423462304156,0.488801051120838,2.30940191435072
Total catch,Un-Associated,-51.3013924125462,0.0258032670571825,0.00298241120895736,0.534196182087451,2.58032670571825
Skipjack catch,Drifting FAD,-97.8756202851607,0.0492496033501081,7.71037107887956e-05,0.741078703130488,4.92496033501081
Total catch,Drifting FAD,-87.9608717031277,0.0443194751198708,0.000766682157311958,0.624695778194055,4.43194751198708
